timestamp,x_pos,y_pos,z_pos,qw,qx,qy,qz,raw_yaw_rad,corrected_yaw_rad,raw_yaw_deg,corrected_yaw_deg
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07267,-3.07267,-176.051,-176.051
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07254,-3.07254,-176.044,-176.044
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07405,-3.07405,-176.13,-176.13
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07532,-3.07532,-176.203,-176.203
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07281,-3.07281,-176.059,-176.059
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07245,-3.07245,-176.038,-176.038
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07506,-3.07506,-176.188,-176.188
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07229,-3.07229,-176.029,-176.029
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.0741,-3.0741,-176.133,-176.133
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07315,-3.07315,-176.079,-176.079
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07281,-3.07281,-176.059,-176.059
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07306,-3.07306,-176.073,-176.073
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07541,-3.07541,-176.208,-176.208
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07268,-3.07268,-176.051,-176.051
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07255,-3.07255,-176.044,-176.044
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07425,-3.07425,-176.142,-176.142
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07335,-3.07335,-176.09,-176.09
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07241,-3.07241,-176.036,-176.036
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07236,-3.07236,-176.033,-176.033
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07538,-3.07538,-176.206,-176.206
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07229,-3.07229,-176.03,-176.03
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07254,-3.07254,-176.043,-176.043
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07312,-3.07312,-176.077,-176.077
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07279,-3.07279,-176.058,-176.058
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07264,-3.07264,-176.049,-176.049
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07314,-3.07314,-176.078,-176.078
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07443,-3.07443,-176.152,-176.152
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07511,-3.07511,-176.191,-176.191
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07293,-3.07293,-176.066,-176.066
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07247,-3.07247,-176.039,-176.039
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07579,-3.07579,-176.23,-176.23
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07249,-3.07249,-176.041,-176.041
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07274,-3.07274,-176.055,-176.055
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07549,-3.07549,-176.213,-176.213
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07252,-3.07252,-176.042,-176.042
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07285,-3.07285,-176.061,-176.061
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07236,-3.07236,-176.033,-176.033
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.0725,-3.0725,-176.041,-176.041
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07437,-3.07437,-176.148,-176.148
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07287,-3.07287,-176.062,-176.062
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07263,-3.07263,-176.049,-176.049
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.0729,-3.0729,-176.064,-176.064
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07274,-3.07274,-176.055,-176.055
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07297,-3.07297,-176.068,-176.068
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07286,-3.07286,-176.062,-176.062
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07209,-3.07209,-176.018,-176.018
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07266,-3.07266,-176.05,-176.05
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07417,-3.07417,-176.137,-176.137
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07267,-3.07267,-176.051,-176.051
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07275,-3.07275,-176.056,-176.056
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07558,-3.07558,-176.218,-176.218
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07238,-3.07238,-176.035,-176.035
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07532,-3.07532,-176.203,-176.203
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07472,-3.07472,-176.168,-176.168
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07253,-3.07253,-176.043,-176.043
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07247,-3.07247,-176.04,-176.04
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.0741,-3.0741,-176.133,-176.133
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07519,-3.07519,-176.195,-176.195
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07194,-3.07194,-176.009,-176.009
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07267,-3.07267,-176.051,-176.051
2025-03-03 18:26:37,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07238,-3.07238,-176.035,-176.035
